2023-03-10 06:27:54 startup packages remove
2023-03-10 06:27:54 status installed apt-utils:arm64 2.2.4
2023-03-10 06:27:54 remove apt-utils:arm64 2.2.4 <none>
2023-03-10 06:27:54 status half-configured apt-utils:arm64 2.2.4
2023-03-10 06:27:54 status half-installed apt-utils:arm64 2.2.4
2023-03-10 06:27:54 status triggers-pending man-db:arm64 2.9.4-2
2023-03-10 06:27:55 status config-files apt-utils:arm64 2.2.4
2023-03-10 06:27:55 status not-installed apt-utils:arm64 <none>
2023-03-10 06:27:55 status installed libnss-mdns:arm64 0.14.1-2
2023-03-10 06:27:55 remove libnss-mdns:arm64 0.14.1-2 <none>
2023-03-10 06:27:55 status triggers-pending libc-bin:arm64 2.31-13+rpt2+rpi1+deb11u5
2023-03-10 06:27:55 status half-configured libnss-mdns:arm64 0.14.1-2
2023-03-10 06:27:55 status half-installed libnss-mdns:arm64 0.14.1-2
2023-03-10 06:27:55 status config-files libnss-mdns:arm64 0.14.1-2
2023-03-10 06:27:55 status installed avahi-daemon:arm64 0.8-5+deb11u1
2023-03-10 06:27:55 remove avahi-daemon:arm64 0.8-5+deb11u1 <none>
2023-03-10 06:27:55 status half-configured avahi-daemon:arm64 0.8-5+deb11u1
2023-03-10 06:27:55 status half-installed avahi-daemon:arm64 0.8-5+deb11u1
2023-03-10 06:27:55 status triggers-pending dbus:arm64 1.12.24-0+deb11u1
2023-03-10 06:27:55 status config-files avahi-daemon:arm64 0.8-5+deb11u1
2023-03-10 06:27:55 status installed bind9-host:arm64 1:9.16.37-1~deb11u1
2023-03-10 06:27:55 remove bind9-host:arm64 1:9.16.37-1~deb11u1 <none>
2023-03-10 06:27:55 status half-configured bind9-host:arm64 1:9.16.37-1~deb11u1
2023-03-10 06:27:55 status half-installed bind9-host:arm64 1:9.16.37-1~deb11u1
2023-03-10 06:27:55 status config-files bind9-host:arm64 1:9.16.37-1~deb11u1
2023-03-10 06:27:55 status not-installed bind9-host:arm64 <none>
2023-03-10 06:27:55 status installed bind9-libs:arm64 1:9.16.37-1~deb11u1
2023-03-10 06:27:55 remove bind9-libs:arm64 1:9.16.37-1~deb11u1 <none>
2023-03-10 06:27:55 status half-configured bind9-libs:arm64 1:9.16.37-1~deb11u1
2023-03-10 06:27:55 status half-installed bind9-libs:arm64 1:9.16.37-1~deb11u1
2023-03-10 06:27:55 status config-files bind9-libs:arm64 1:9.16.37-1~deb11u1
2023-03-10 06:27:55 status not-installed bind9-libs:arm64 <none>
2023-03-10 06:27:55 status installed build-essential:arm64 12.9
2023-03-10 06:27:55 remove build-essential:arm64 12.9 <none>
2023-03-10 06:27:55 status half-configured build-essential:arm64 12.9
2023-03-10 06:27:55 status half-installed build-essential:arm64 12.9
2023-03-10 06:27:55 status config-files build-essential:arm64 12.9
2023-03-10 06:27:55 status not-installed build-essential:arm64 <none>
2023-03-10 06:27:55 status installed cifs-utils:arm64 2:6.11-3.1+deb11u1
2023-03-10 06:27:55 remove cifs-utils:arm64 2:6.11-3.1+deb11u1 <none>
2023-03-10 06:27:55 status half-configured cifs-utils:arm64 2:6.11-3.1+deb11u1
2023-03-10 06:27:55 status half-installed cifs-utils:arm64 2:6.11-3.1+deb11u1
2023-03-10 06:27:55 status config-files cifs-utils:arm64 2:6.11-3.1+deb11u1
2023-03-10 06:27:55 status installed g++:arm64 4:10.2.1-1
2023-03-10 06:27:55 remove g++:arm64 4:10.2.1-1 <none>
2023-03-10 06:27:55 status half-configured g++:arm64 4:10.2.1-1
2023-03-10 06:27:55 status half-installed g++:arm64 4:10.2.1-1
2023-03-10 06:27:55 status config-files g++:arm64 4:10.2.1-1
2023-03-10 06:27:55 status not-installed g++:arm64 <none>
2023-03-10 06:27:55 status installed gcc:arm64 4:10.2.1-1
2023-03-10 06:27:55 remove gcc:arm64 4:10.2.1-1 <none>
2023-03-10 06:27:55 status half-configured gcc:arm64 4:10.2.1-1
2023-03-10 06:27:55 status half-installed gcc:arm64 4:10.2.1-1
2023-03-10 06:27:55 status config-files gcc:arm64 4:10.2.1-1
2023-03-10 06:27:55 status not-installed gcc:arm64 <none>
2023-03-10 06:27:55 status installed cpp:arm64 4:10.2.1-1
2023-03-10 06:27:55 remove cpp:arm64 4:10.2.1-1 <none>
2023-03-10 06:27:55 status half-configured cpp:arm64 4:10.2.1-1
2023-03-10 06:27:55 status half-installed cpp:arm64 4:10.2.1-1
2023-03-10 06:27:55 status config-files cpp:arm64 4:10.2.1-1
2023-03-10 06:27:55 status not-installed cpp:arm64 <none>
2023-03-10 06:27:55 status installed g++-10:arm64 10.2.1-6
2023-03-10 06:27:55 remove g++-10:arm64 10.2.1-6 <none>
2023-03-10 06:27:55 status half-configured g++-10:arm64 10.2.1-6
2023-03-10 06:27:55 status half-installed g++-10:arm64 10.2.1-6
2023-03-10 06:27:55 status config-files g++-10:arm64 10.2.1-6
2023-03-10 06:27:55 status not-installed g++-10:arm64 <none>
2023-03-10 06:27:55 status installed gcc-10:arm64 10.2.1-6
2023-03-10 06:27:55 remove gcc-10:arm64 10.2.1-6 <none>
2023-03-10 06:27:55 status half-configured gcc-10:arm64 10.2.1-6
2023-03-10 06:27:55 status half-installed gcc-10:arm64 10.2.1-6
2023-03-10 06:27:55 status config-files gcc-10:arm64 10.2.1-6
2023-03-10 06:27:55 status not-installed gcc-10:arm64 <none>
2023-03-10 06:27:55 status installed cpp-10:arm64 10.2.1-6
2023-03-10 06:27:55 remove cpp-10:arm64 10.2.1-6 <none>
2023-03-10 06:27:55 status half-configured cpp-10:arm64 10.2.1-6
2023-03-10 06:27:55 status half-installed cpp-10:arm64 10.2.1-6
2023-03-10 06:27:56 status config-files cpp-10:arm64 10.2.1-6
2023-03-10 06:27:56 status not-installed cpp-10:arm64 <none>
2023-03-10 06:27:56 status installed debconf-i18n:all 1.5.77
2023-03-10 06:27:56 remove debconf-i18n:all 1.5.77 <none>
2023-03-10 06:27:56 status half-configured debconf-i18n:all 1.5.77
2023-03-10 06:27:56 status half-installed debconf-i18n:all 1.5.77
2023-03-10 06:27:56 status config-files debconf-i18n:all 1.5.77
2023-03-10 06:27:56 status not-installed debconf-i18n:all <none>
2023-03-10 06:27:56 status installed dmidecode:arm64 3.3-2
2023-03-10 06:27:56 remove dmidecode:arm64 3.3-2 <none>
2023-03-10 06:27:56 status half-configured dmidecode:arm64 3.3-2
2023-03-10 06:27:56 status half-installed dmidecode:arm64 3.3-2
2023-03-10 06:27:56 status config-files dmidecode:arm64 3.3-2
2023-03-10 06:27:56 status not-installed dmidecode:arm64 <none>
2023-03-10 06:27:56 status installed dosfstools:arm64 4.2-1
2023-03-10 06:27:56 remove dosfstools:arm64 4.2-1 <none>
2023-03-10 06:27:56 status half-configured dosfstools:arm64 4.2-1
2023-03-10 06:27:56 status half-installed dosfstools:arm64 4.2-1
2023-03-10 06:27:56 status config-files dosfstools:arm64 4.2-1
2023-03-10 06:27:56 status not-installed dosfstools:arm64 <none>
2023-03-10 06:27:56 status installed dpkg-dev:all 1.20.12
2023-03-10 06:27:56 remove dpkg-dev:all 1.20.12 <none>
2023-03-10 06:27:56 status half-configured dpkg-dev:all 1.20.12
2023-03-10 06:27:56 status half-installed dpkg-dev:all 1.20.12
2023-03-10 06:27:56 status config-files dpkg-dev:all 1.20.12
2023-03-10 06:27:56 status installed ed:arm64 1.17-1
2023-03-10 06:27:56 remove ed:arm64 1.17-1 <none>
2023-03-10 06:27:56 status half-configured ed:arm64 1.17-1
2023-03-10 06:27:56 status half-installed ed:arm64 1.17-1
2023-03-10 06:27:56 status config-files ed:arm64 1.17-1
2023-03-10 06:27:56 status not-installed ed:arm64 <none>
2023-03-10 06:27:56 status installed gdb:arm64 10.1-1.7
2023-03-10 06:27:56 remove gdb:arm64 10.1-1.7 <none>
2023-03-10 06:27:56 status half-configured gdb:arm64 10.1-1.7
2023-03-10 06:27:56 status half-installed gdb:arm64 10.1-1.7
2023-03-10 06:27:56 status config-files gdb:arm64 10.1-1.7
2023-03-10 06:27:56 remove man-db:arm64 2.9.4-2 <none>
2023-03-10 06:27:56 status half-configured man-db:arm64 2.9.4-2
2023-03-10 06:27:56 status half-installed man-db:arm64 2.9.4-2
2023-03-10 06:27:56 status triggers-pending mailcap:all 3.69
2023-03-10 06:27:56 status config-files man-db:arm64 2.9.4-2
2023-03-10 06:27:56 status installed groff-base:arm64 1.22.4-6
2023-03-10 06:27:56 remove groff-base:arm64 1.22.4-6 <none>
2023-03-10 06:27:56 status half-configured groff-base:arm64 1.22.4-6
2023-03-10 06:27:56 status half-installed groff-base:arm64 1.22.4-6
2023-03-10 06:27:56 status config-files groff-base:arm64 1.22.4-6
2023-03-10 06:27:56 status installed hardlink:arm64 0.3.2+b1
2023-03-10 06:27:56 remove hardlink:arm64 0.3.2+b1 <none>
2023-03-10 06:27:56 status half-configured hardlink:arm64 0.3.2+b1
2023-03-10 06:27:56 status half-installed hardlink:arm64 0.3.2+b1
2023-03-10 06:27:56 status config-files hardlink:arm64 0.3.2+b1
2023-03-10 06:27:56 status not-installed hardlink:arm64 <none>
2023-03-10 06:27:56 status installed less:arm64 551-2
2023-03-10 06:27:56 remove less:arm64 551-2 <none>
2023-03-10 06:27:56 status half-configured less:arm64 551-2
2023-03-10 06:27:56 status half-installed less:arm64 551-2
2023-03-10 06:27:56 status config-files less:arm64 551-2
2023-03-10 06:27:56 status not-installed less:arm64 <none>
2023-03-10 06:27:56 status installed libalgorithm-merge-perl:all 0.08-3
2023-03-10 06:27:56 remove libalgorithm-merge-perl:all 0.08-3 <none>
2023-03-10 06:27:56 status half-configured libalgorithm-merge-perl:all 0.08-3
2023-03-10 06:27:56 status half-installed libalgorithm-merge-perl:all 0.08-3
2023-03-10 06:27:56 status config-files libalgorithm-merge-perl:all 0.08-3
2023-03-10 06:27:56 status not-installed libalgorithm-merge-perl:all <none>
2023-03-10 06:27:56 status installed libalgorithm-diff-xs-perl:arm64 0.04-6+b1
2023-03-10 06:27:56 remove libalgorithm-diff-xs-perl:arm64 0.04-6+b1 <none>
2023-03-10 06:27:56 status half-configured libalgorithm-diff-xs-perl:arm64 0.04-6+b1
2023-03-10 06:27:56 status half-installed libalgorithm-diff-xs-perl:arm64 0.04-6+b1
2023-03-10 06:27:56 status config-files libalgorithm-diff-xs-perl:arm64 0.04-6+b1
2023-03-10 06:27:56 status not-installed libalgorithm-diff-xs-perl:arm64 <none>
2023-03-10 06:27:56 status installed libalgorithm-diff-perl:all 1.201-1
2023-03-10 06:27:56 remove libalgorithm-diff-perl:all 1.201-1 <none>
2023-03-10 06:27:56 status half-configured libalgorithm-diff-perl:all 1.201-1
2023-03-10 06:27:56 status half-installed libalgorithm-diff-perl:all 1.201-1
2023-03-10 06:27:56 status config-files libalgorithm-diff-perl:all 1.201-1
2023-03-10 06:27:56 status not-installed libalgorithm-diff-perl:all <none>
2023-03-10 06:27:56 status installed libsource-highlight4v5:arm64 3.1.9-3+b1
2023-03-10 06:27:56 remove libsource-highlight4v5:arm64 3.1.9-3+b1 <none>
2023-03-10 06:27:56 status half-configured libsource-highlight4v5:arm64 3.1.9-3+b1
2023-03-10 06:27:57 status half-installed libsource-highlight4v5:arm64 3.1.9-3+b1
2023-03-10 06:27:57 status config-files libsource-highlight4v5:arm64 3.1.9-3+b1
2023-03-10 06:27:57 status not-installed libsource-highlight4v5:arm64 <none>
2023-03-10 06:27:57 status installed libboost-regex1.74.0:arm64 1.74.0-9
2023-03-10 06:27:57 remove libboost-regex1.74.0:arm64 1.74.0-9 <none>
2023-03-10 06:27:57 status half-configured libboost-regex1.74.0:arm64 1.74.0-9
2023-03-10 06:27:57 status half-installed libboost-regex1.74.0:arm64 1.74.0-9
2023-03-10 06:27:57 status config-files libboost-regex1.74.0:arm64 1.74.0-9
2023-03-10 06:27:57 status not-installed libboost-regex1.74.0:arm64 <none>
2023-03-10 06:27:57 status installed pkg-config:arm64 0.29.2-1
2023-03-10 06:27:57 remove pkg-config:arm64 0.29.2-1 <none>
2023-03-10 06:27:57 status half-configured pkg-config:arm64 0.29.2-1
2023-03-10 06:27:57 status half-installed pkg-config:arm64 0.29.2-1
